IV,Variables
1.3091009346660762,ACA_2_2004
1.33653139160742,ACA_2_2005
1.3408542092782099,ACA_2_2006
1.3490496911141139,ACA_2_2007
1.4262751420509856,ACA_2_2008
1.4697899184769379,ACA_2_2009
1.4179989009089489,ACA_2_2010
1.4979722158631206,ACA_2_2011
1.409134482285492,ACA_2_2012
0.379888085755557,CMN_3_1980
0.43815302856314775,CMN_3_1981
0.43530988069832244,CMN_3_1982
0.48485221225906733,CMN_3_1983
0.49066223404990184,CMN_3_1984
0.5533304860760144,CMN_3_1985
0.5736494060497374,CMN_3_1986
0.5271974971885525,CMN_3_1987
0.5942650613338913,CMN_3_1988
0.6794877494049437,CMN_3_1989
0.6424154801179969,CMN_3_1990
0.6467343834503221,CMN_3_1991
0.7167714179421135,CMN_3_1992
0.7332819745202155,CMN_3_1993
0.8116816062860635,CMN_3_1994
0.7475657785548002,CMN_3_1995
0.731885294523932,CMN_3_1996
0.7602849152804135,CMN_3_1997
0.7891439882864745,CMN_3_1998
0.8585599699123945,CMN_3_1999
0.8297899263917121,CMN_3_2000
0.8648637150550857,CMN_3_2001
0.867996781675914,CMN_3_2002
0.9126290765384142,CMN_3_2003
0.9560424673184049,CMN_3_2004
0.9727681800302664,CMN_3_2005
0.9958006456208,CMN_3_2006
0.9671774831695472,CMN_3_2007
0.9826876561062103,CMN_3_2008
0.9847601763372504,CMN_3_2009
0.997822312086584,CMN_3_2010
1.0064171919798386,CMN_3_2011
1.0079321348513557,CMN_3_2012
0.43861076208706207,CMN_1_1980
0.4753597527577589,CMN_1_1981
0.516984221865501,CMN_1_1982
0.5296726841034575,CMN_1_1983
0.5414415710220721,CMN_1_1984
0.559508691623939,CMN_1_1985
0.6401016731177314,CMN_1_1986
0.6958973833108011,CMN_1_1987
0.6888671818135459,CMN_1_1988
0.7725143994786845,CMN_1_1989
0.7438276537018975,CMN_1_1990
0.7265590720731336,CMN_1_1991
0.8055269337246767,CMN_1_1992
0.809321905186092,CMN_1_1993
0.8453444296810724,CMN_1_1994
0.8162192420001391,CMN_1_1995
0.8421291147530685,CMN_1_1996
0.8359159617442709,CMN_1_1997
0.8372047932739289,CMN_1_1998
0.8891980484570905,CMN_1_1999
0.8853145798046487,CMN_1_2000
0.9383105227004891,CMN_1_2001
0.9435671519805384,CMN_1_2002
1.01058031999186,CMN_1_2003
1.035932917040768,CMN_1_2004
1.0653789611099174,CMN_1_2005
1.0709190265826167,CMN_1_2006
1.0569997353821496,CMN_1_2007
1.0822720105715344,CMN_1_2008
1.0621787053623861,CMN_1_2009
1.0570797877258464,CMN_1_2010
1.0595509885905572,CMN_1_2011
1.0309009486424512,CMN_1_2012
0.3969864093522607,CMN_2_1980
0.4095241090997142,CMN_2_1981
0.3804296925471036,CMN_2_1982
0.45418769161544054,CMN_2_1983
0.44377078231540223,CMN_2_1984
0.4891800338617364,CMN_2_1985
0.4832308868544196,CMN_2_1986
0.5569888586986269,CMN_2_1987
0.5285413418068208,CMN_2_1988
0.5299835015342879,CMN_2_1989
0.5352613753413018,CMN_2_1990
0.5827223305141269,CMN_2_1991
0.5725747493996678,CMN_2_1992
0.652642824371424,CMN_2_1993
0.6875369481654681,CMN_2_1994
0.6315054153953621,CMN_2_1995
0.6951563381301201,CMN_2_1996
0.7143153794686169,CMN_2_1997
0.7375387456642268,CMN_2_1998
0.8198763956687609,CMN_2_1999
0.7827820161318361,CMN_2_2000
0.7801786487041271,CMN_2_2001
0.7992778203022457,CMN_2_2002
0.8396961842843735,CMN_2_2003
0.8749447983228849,CMN_2_2004
0.8733480674935722,CMN_2_2005
0.881821026248623,CMN_2_2006
